obs_id,middle_mjds,mjd_range,flux,flux_er_neg,flux_er_pos,uplims,model,cstat_bool,redchi2,binning
00030034201pc,60931.19033736634,0.010737335185694974,9.359697099849041e-12,1.449265911414346e-12,1.4833220788781088e-12,,powerlaw+bbodyrad,,1.1022982550953566,False
00030034204wt,60933.64777762865,0.0002699585384107195,2.649701024997643e-10,9.411929631488562e-11,6.27897031288755e-11,,powerlaw+bbodyrad,,0.6574145026304805,False
00030034204pc,60933.65341863083,0.010969437498715706,1.562721701837727e-10,2.217457312583902e-11,2.2978494644388022e-11,,powerlaw+bbodyrad,,1.05957905024397,True
00030034205wt,60934.84043800981,0.05993120823404752,1.1004569900501747e-10,1.4842876341829264e-11,1.841152261835856e-11,,powerlaw+bbodyrad,,0.7183827709019701,False
00030034205pc,60934.842562931735,0.06320707477425458,1.1672886151843033e-10,1.0179998084803212e-11,1.3196509399373357e-11,,powerlaw+bbodyrad,,1.6345864165063906,True
00030034208pc,60938.3190410924,0.0060941319388803095,2.3183163723978756e-10,2.030603619940033e-11,2.321972022462218e-11,,powerlaw+bbodyrad,,0.6674938886279275,True
00030034208wt,60938.473257576494,0.322716729111562,2.1964610672002272e-10,6.390771304766427e-12,7.075039241751989e-12,,powerlaw+bbodyrad,,1.1897277108784325,True
00030034209pc,60943.10098101356,0.010273045372741763,1.2269532298907802e-11,1.2483172425215749e-12,1.5114846390556046e-12,,powerlaw+bbodyrad,,0.9613305664882558,False
00030034213wt,60949.433257631616,0.0005047050944995135,1.8363260116166223e-10,2.229563377707789e-11,2.5121072746144815e-11,,powerlaw+bbodyrad,,0.9873238815536995,False
00030034213pc,60949.438578666704,0.010098847225890495,2.4148655706703736e-10,1.3509910714781786e-11,1.470991648061967e-11,,powerlaw+bbodyrad,,0.5698089282142561,True
