# MeerKAT data
# name, band, ID, mid_mjd, dt_mjd, outburst_phase, spec_state, Fr, Fr_unc, 3sigma_uplim, local_rms, spec_ind, spec_ind_unc
SAX J1808.4-3658,L,1754593573,60894.807905,,,HS,5.0051E-01,1.8071E-02,,,,,,2025-08-07
SAX J1808.4-3658,L,1754773580,60896.891296,,,HS,2.7524E-01,2.3606E-02,,,,,,2025-08-09
SAX J1808.4-3658,L,1754921177,60898.607713,,,HS,2.3186E-01,2.8616E-02,,,,,,2025-08-11
SAX J1808.4-3658,L,1755112876,60900.818446,,,HS,2.2297E-01,2.2011E-02,,,,,,2025-08-13
SAX J1808.4-3658,L,1755267076,60902.611227,,,HS,2.4646E-01,2.7623E-02,,,,,,2025-08-15
SAX J1808.4-3658,L,1755463571,60904.877320,,,HS,2.1468E-01,2.7586E-02,,,,,,2025-08-15
SAX J1808.4-3658,L,1755525678,60905.656919,,,SS,1.6377E-01,2.5652E-02,,,,,,2025-08-16
SAX J1808.4-3658,L,1755965308,60910.732924,,,HS,2.8588E-01,1.9647E-02,,,,,,2025-08-23
SAX J1808.4-3658,L,1756646775,60918.632531,,,Unclear,1.2944E-01,2.4650E-02,,,,,,2025-08-31
SAX J1808.4-3658,L,1758028669,60934.626946,,,,,,5.0000E-02,,,,,2025-09-16
SAX J1808.4-3658,L,1758370638,60938.572134,,,,,,5.4000E-02,,,,,2025-09-20
SAX J1808.4-3658,L,1758973813,60945.551921,,,,,,5.2000E-02,,,,,2025-09-27
